latitude,longitude,displacement (mm),coherence,elevation (m)
13.510,40.713,1.88,0.81,434.85
13.510,40.717,1.92,0.84,445.25
13.510,40.721,2.13,0.85,439.27
13.510,40.725,2.40,0.86,451.71
13.510,40.729,2.48,0.84,388.02
13.510,40.733,2.50,0.86,348.15
13.510,40.737,2.32,0.88,318.03
13.510,40.741,2.19,0.89,278.42
13.510,40.745,2.81,0.89,224.33
13.510,40.749,3.60,0.90,174.10
13.510,40.753,4.84,0.91,137.33
13.510,40.757,6.37,0.90,106.02
13.510,40.761,7.30,0.88,73.19
13.510,40.765,8.18,0.85,31.63
13.510,40.769,9.32,0.88,23.20
13.513,40.569,13.35,0.81,35.84
13.513,40.573,12.81,0.83,51.07
13.513,40.577,11.98,0.84,70.03
13.513,40.581,11.06,0.85,92.79
13.513,40.585,10.01,0.85,125.14
13.513,40.589,9.07,0.85,163.39
13.513,40.593,8.30,0.84,220.98
13.513,40.597,8.03,0.84,281.99
13.513,40.601,7.69,0.85,349.29
13.513,40.605,7.31,0.83,411.26
13.513,40.609,8.19,0.83,507.81
13.513,40.613,10.23,0.81,608.40
13.513,40.617,12.16,0.78,707.02
13.513,40.621,13.97,0.75,797.23
13.513,40.625,15.13,0.62,899.95
13.513,40.629,14.83,0.65,955.50
13.513,40.633,13.30,0.73,951.50
13.513,40.637,10.52,0.81,865.18
13.513,40.641,NaN,0.75,728.00
13.513,40.645,NaN,0.56,570.27
13.513,40.649,NaN,0.63,351.72
13.513,40.653,5.38,0.68,252.30
13.513,40.657,6.53,0.80,256.18
13.513,40.661,6.48,0.82,261.66
13.513,40.665,5.44,0.83,255.51
13.513,40.669,4.25,0.81,261.34
13.513,40.673,3.42,0.81,266.29
13.513,40.677,3.00,0.83,276.48
13.513,40.681,2.68,0.90,275.08
13.513,40.685,2.47,0.91,273.22
13.513,40.689,2.41,0.91,283.07
13.513,40.693,2.34,0.90,283.18
13.513,40.697,2.11,0.90,295.49
13.513,40.701,1.69,0.90,338.01
13.513,40.705,1.59,0.90,362.09
13.513,40.709,1.81,0.90,395.54
13.513,40.713,2.10,0.76,418.08
13.513,40.717,2.14,0.84,438.17
13.513,40.721,2.30,0.88,437.41
13.513,40.725,2.39,0.86,431.26
13.513,40.729,2.44,0.85,384.13
13.513,40.733,2.37,0.88,340.48
13.513,40.737,1.95,0.91,319.79
13.513,40.741,1.61,0.91,283.80
13.513,40.745,1.90,0.91,227.49
13.513,40.749,2.73,0.92,191.25
13.513,40.753,4.25,0.91,157.25
13.513,40.757,6.43,0.91,119.24
13.513,40.761,8.36,0.89,94.20
13.513,40.765,10.04,0.87,46.10
13.513,40.769,11.51,0.87,33.15
13.518,40.569,13.87,0.82,49.20
13.518,40.573,13.67,0.82,55.30
13.518,40.577,12.83,0.84,79.46
13.518,40.581,11.62,0.85,105.26
13.518,40.585,10.77,0.85,135.76
13.518,40.589,10.31,0.84,186.74
13.518,40.593,9.95,0.84,240.70
13.518,40.597,9.78,0.83,296.83
13.518,40.601,9.97,0.84,357.79
13.518,40.605,10.68,0.84,420.09
13.518,40.609,12.20,0.83,504.94
13.518,40.613,13.83,0.82,601.27
13.518,40.617,15.29,0.79,675.64
13.518,40.621,16.37,0.74,745.53
13.518,40.625,16.69,0.59,803.50
13.518,40.629,15.60,0.62,837.67
13.518,40.633,12.97,0.70,807.61
13.518,40.637,9.66,0.81,740.09
13.518,40.641,6.82,0.80,634.17
13.518,40.645,NaN,0.74,491.99
13.518,40.649,4.09,0.77,370.63
13.518,40.653,5.27,0.77,265.22
13.518,40.657,6.34,0.80,263.76
13.518,40.661,6.48,0.80,262.56
13.518,40.665,5.83,0.86,262.49
13.518,40.669,4.91,0.83,265.38
13.518,40.673,4.30,0.81,276.57
13.518,40.677,3.80,0.82,284.54
13.518,40.681,3.56,0.88,278.68
13.518,40.685,3.49,0.89,285.73
13.518,40.689,3.43,0.90,290.27
13.518,40.693,3.13,0.90,296.47
13.518,40.697,2.59,0.89,312.38
13.518,40.701,2.15,0.89,338.71
13.518,40.705,2.30,0.90,365.25
13.518,40.709,2.67,0.90,370.65
13.518,40.713,2.85,0.87,394.01
13.518,40.717,2.80,0.90,410.52
13.518,40.721,2.87,0.90,418.71
13.518,40.725,2.99,0.89,393.53
13.518,40.729,3.10,0.90,366.50
13.518,40.733,3.01,0.92,342.41
13.518,40.737,2.39,0.92,319.54
13.518,40.741,1.82,0.91,280.45
13.518,40.745,1.69,0.92,239.34
13.518,40.749,2.25,0.92,208.09
13.518,40.753,3.94,0.92,174.81
13.518,40.757,6.29,0.91,142.04
13.518,40.761,8.71,0.90,106.48
13.518,40.765,10.97,0.88,78.69
13.518,40.769,12.75,0.89,56.17
13.522,40.569,13.98,0.85,56.35
13.522,40.573,13.81,0.86,72.62
13.522,40.577,13.23,0.85,79.46
13.522,40.581,12.16,0.86,111.56
13.522,40.585,11.53,0.85,140.07
13.522,40.589,11.21,0.86,182.66
13.522,40.593,11.20,0.86,243.18
13.522,40.597,11.40,0.85,296.46
13.522,40.601,12.50,0.84,355.45
13.522,40.605,14.31,0.84,413.94
13.522,40.609,16.45,0.83,475.07
13.522,40.613,17.76,0.82,556.21
13.522,40.617,18.53,0.80,632.87
13.522,40.621,18.74,0.73,677.33
13.522,40.625,17.96,0.61,702.76
13.522,40.629,15.71,0.70,720.64
13.522,40.633,12.59,0.78,697.92
13.522,40.637,9.26,0.85,642.29
13.522,40.641,6.40,0.83,552.72
13.522,40.645,4.68,0.82,434.28
13.522,40.649,4.29,0.84,333.13
13.522,40.653,5.30,0.80,263.59
13.522,40.657,6.37,0.80,265.81
13.522,40.661,6.73,0.79,269.61
13.522,40.665,6.44,0.89,266.03
13.522,40.669,5.76,0.84,271.72
13.522,40.673,5.18,0.79,273.79
13.522,40.677,4.73,0.81,284.36
13.522,40.681,4.49,0.82,291.15
13.522,40.685,4.45,0.87,288.75
13.522,40.689,4.34,0.88,301.74
13.522,40.693,3.97,0.90,307.20
13.522,40.697,3.46,0.87,318.16
13.522,40.701,3.25,0.89,328.22
13.522,40.705,3.51,0.90,348.06
13.522,40.709,3.78,0.88,359.64
13.522,40.713,3.84,0.87,398.65
13.522,40.717,3.80,0.92,397.85
13.522,40.721,3.87,0.92,386.96
13.522,40.725,4.03,0.91,381.62
13.522,40.729,4.15,0.92,367.10
13.522,40.733,3.97,0.92,328.75
13.522,40.737,3.12,0.92,299.03
13.522,40.741,2.30,0.92,257.47
13.522,40.745,2.02,0.92,234.30
13.522,40.749,2.56,0.91,204.27
13.522,40.753,3.99,0.91,181.12
13.522,40.757,5.95,0.91,149.55
13.522,40.761,8.39,0.90,117.75
13.522,40.765,10.77,0.90,92.58
13.522,40.769,12.82,0.89,58.69
13.526,40.569,13.52,0.85,70.94
13.526,40.573,13.03,0.85,81.94
13.526,40.577,12.75,0.87,95.82
13.526,40.581,12.19,0.88,122.74
13.526,40.585,11.85,0.87,155.05
13.526,40.589,12.03,0.86,194.23
13.526,40.593,12.40,0.86,246.42
13.526,40.597,13.34,0.85,292.03
13.526,40.601,15.55,0.85,337.08
13.526,40.605,18.19,0.84,387.46
13.526,40.609,20.25,0.84,447.80
13.526,40.613,20.98,0.82,497.88
13.526,40.617,20.99,0.79,579.97
13.526,40.621,20.35,0.73,600.20
13.526,40.625,18.70,0.64,617.20
13.526,40.629,15.80,0.68,610.26
13.526,40.633,12.48,0.82,600.17
13.526,40.637,9.09,0.86,536.16
13.526,40.641,6.46,0.85,459.02
13.526,40.645,5.00,0.85,370.25
13.526,40.649,4.68,0.85,286.27
13.526,40.653,5.70,0.69,261.74
13.526,40.657,6.77,0.79,266.94
13.526,40.661,7.33,0.81,275.35
13.526,40.665,7.17,0.85,268.57
13.526,40.669,6.58,0.89,277.55
13.526,40.673,5.99,0.83,278.53
13.526,40.677,5.62,0.79,283.22
